Country,1.4.1_SP_ACS_BSRVH2O__ALLAREA__2019,1.4.1_SP_ACS_BSRVH2O__ALLAREA__Delta,1.4.1_SP_ACS_BSRVSAN__ALLAREA__2019,1.4.1_SP_ACS_BSRVSAN__ALLAREA__Delta,3.2.1_SH_DYN_IMRT_FEMALE__<1Y_2019,3.2.1_SH_DYN_IMRT_FEMALE__<1Y_Delta,3.2.1_SH_DYN_IMRT_BOTHSEX__<1Y_2019,3.2.1_SH_DYN_IMRT_BOTHSEX__<1Y_Delta,3.2.1_SH_DYN_IMRT_MALE__<1Y_2019,3.2.1_SH_DYN_IMRT_MALE__<1Y_Delta,3.2.1_SH_DYN_IMRTN_BOTHSEX__<1Y_2019,3.2.1_SH_DYN_IMRTN_BOTHSEX__<1Y_Delta,3.2.1_SH_DYN_IMRTN_FEMALE__<1Y_2019,3.2.1_SH_DYN_IMRTN_FEMALE__<1Y_Delta,3.2.1_SH_DYN_IMRTN_MALE__<1Y_2019,3.2.1_SH_DYN_IMRTN_MALE__<1Y_Delta,3.2.1_SH_DYN_MORT_MALE__<5Y_2019,3.2.1_SH_DYN_MORT_MALE__<5Y_Delta,3.2.1_SH_DYN_MORT_BOTHSEX__<5Y_2019,3.2.1_SH_DYN_MORT_BOTHSEX__<5Y_Delta,3.2.1_SH_DYN_MORT_FEMALE__<5Y_2019,3.2.1_SH_DYN_MORT_FEMALE__<5Y_Delta,3.2.1_SH_DYN_MORTN_BOTHSEX__<5Y_2019,3.2.1_SH_DYN_MORTN_BOTHSEX__<5Y_Delta,3.2.1_SH_DYN_MORTN_MALE__<5Y_2019,3.2.1_SH_DYN_MORTN_MALE__<5Y_Delta,3.2.1_SH_DYN_MORTN_FEMALE__<5Y_2019,3.2.1_SH_DYN_MORTN_FEMALE__<5Y_Delta,3.2.2_SH_DYN_NMRT_BOTHSEX__<1M_2019,3.2.2_SH_DYN_NMRT_BOTHSEX__<1M_Delta,3.2.2_SH_DYN_NMRTN_BOTHSEX__<1M_2019,3.2.2_SH_DYN_NMRTN_BOTHSEX__<1M_Delta,3.3.2_SH_TBS_INCD____2019,3.3.2_SH_TBS_INCD____Delta,6.2.1_SH_SAN_DEFECT__ALLAREA__2019,6.2.1_SH_SAN_DEFECT__ALLAREA__Delta,6.6.1_EN_LKRV_PWAC____2019,6.6.1_EN_LKRV_PWAC____Delta,6.6.1_EN_LKRV_PWAN____2019,6.6.1_EN_LKRV_PWAN____Delta,6.6.1_EN_LKRV_PWAP____2019,6.6.1_EN_LKRV_PWAP____Delta,6.6.1_EN_LKRV_SWAC____2019,6.6.1_EN_LKRV_SWAC____Delta,6.6.1_EN_LKRV_SWAN____2019,6.6.1_EN_LKRV_SWAN____Delta,6.6.1_EN_LKRV_SWAP____2019,6.6.1_EN_LKRV_SWAP____Delta,6.6.1_EN_RSRV_MNWAN____2019,6.6.1_EN_RSRV_MNWAN____Delta,6.6.1_EN_RSRV_MNWAP____2019,6.6.1_EN_RSRV_MNWAP____Delta,6.6.1_EN_RSRV_MXWAN____2019,6.6.1_EN_RSRV_MXWAN____Delta,6.6.1_EN_RSRV_MXWAP____2019,6.6.1_EN_RSRV_MXWAP____Delta,7.1.1_EG_ACS_ELEC__ALLAREA__2019,7.1.1_EG_ACS_ELEC__ALLAREA__Delta,7.1.1_EG_ACS_ELEC__URBAN__2019,7.1.1_EG_ACS_ELEC__URBAN__Delta,7.2.1_EG_FEC_RNEW____2019,7.2.1_EG_FEC_RNEW____Delta,7.3.1_EG_EGY_PRIM____2019,7.3.1_EG_EGY_PRIM____Delta,8.1.1_NY_GDP_PCAP____2019,8.1.1_NY_GDP_PCAP____Delta,8.4.2_EN_MAT_DOMCMPC____2019,8.4.2_EN_MAT_DOMCMPC____Delta,8.4.2_EN_MAT_DOMCMPG____2019,8.4.2_EN_MAT_DOMCMPG____Delta,8.4.2_EN_MAT_DOMCMPT____2019,8.4.2_EN_MAT_DOMCMPT____Delta,9.2.1_NV_IND_MANF____2019,9.2.1_NV_IND_MANF____Delta,9.2.1_NV_IND_MANF_CD____2019,9.2.1_NV_IND_MANF_CD____Delta,9.2.1_NV_IND_MANFPC____2019,9.2.1_NV_IND_MANFPC____Delta,10.7.4_SM_POP_REFG_OR____2019,10.7.4_SM_POP_REFG_OR____Delta,10.a.1_TM_TRF_ZERO____2019,10.a.1_TM_TRF_ZERO____Delta,11.6.2_EN_ATM_PM25__URBAN__2019,11.6.2_EN_ATM_PM25__URBAN__Delta,11.6.2_EN_ATM_PM25__ALLAREA__2019,11.6.2_EN_ATM_PM25__ALLAREA__Delta,11.6.2_EN_ATM_PM25__TSUB__2019,11.6.2_EN_ATM_PM25__TSUB__Delta,11.6.2_EN_ATM_PM25__RURAL__2019,11.6.2_EN_ATM_PM25__RURAL__Delta,15.1.1_AG_LND_FRST____2019,15.1.1_AG_LND_FRST____Delta,15.1.1_AG_LND_FRSTN____2019,15.1.1_AG_LND_FRSTN____Delta,15.1.1_AG_LND_TOTL____2019,15.1.1_AG_LND_TOTL____Delta,15.1.2_ER_PTD_TERR____2019,15.1.2_ER_PTD_TERR____Delta,15.2.1_AG_LND_FRSTBIOPHA____2019,15.2.1_AG_LND_FRSTBIOPHA____Delta,15.2.1_AG_LND_FRSTCERT____2019,15.2.1_AG_LND_FRSTCERT____Delta,15.5.1_ER_RSK_LST____2019,15.5.1_ER_RSK_LST____Delta,15.6.1_ER_CBD_ORSPGRFA____2019,15.6.1_ER_CBD_ORSPGRFA____Delta,15.6.1_ER_CBD_PTYPGRFA____2019,15.6.1_ER_CBD_PTYPGRFA____Delta,15.6.1_ER_CBD_SMTA____2019,15.6.1_ER_CBD_SMTA____Delta,17.11.1_TX_EXP_GBMRCH____2019,17.11.1_TX_EXP_GBMRCH____Delta,17.11.1_TX_IMP_GBMRCH____2019,17.11.1_TX_IMP_GBMRCH____Delta,17.12.1_TM_TAX_DMFN____2019,17.12.1_TM_TAX_DMFN____Delta,17.12.1_TM_TAX_DPRF____2019,17.12.1_TM_TAX_DPRF____Delta,17.13.1_NY_GDP_MKTP_KD_ZG____2019,17.13.1_NY_GDP_MKTP_KD_ZG____Delta,17.13.1_PA_NUS_ATLS____2019,17.13.1_PA_NUS_ATLS____Delta,17.13.1_TG_VAL_TOTL_GD_ZS____2019,17.13.1_TG_VAL_TOTL_GD_ZS____Delta,17.3.1_GF_FRN_FDI____2019,17.3.1_GF_FRN_FDI____Delta,Required Imputes,Percent Imputed,Population Index,Population,Class Label
France,100,0,98.64841,-0.0008,3.1,0.1,3.4,0,3.8,0.1,2408,3,1053,0,1355,3,4.8,0.1,4.3,0,3.9,0,3098,-20,1741,-9,1357,-11,2.6,0,1814,-27,9.1,0.1,0,0,5.82191,0.19679,2536.95309,4.71791,0.00463,1.00E-05,34.796,4.57948,1072.53496,36.43763,0.00196,0.00007,305.5414,0.27458,0.00056,0,364.06442,0.99217,0.00066,0,100,0,100,0,15.53,0.32,3.28,-0.11,1.62,0,4.786,0.034698,0.117832,-0.001074,308217292.8,2814043.6,10.41,0.03,10.01,0.04,4226.37,77.6,0.07754,-0.01413,54.54171429,2.61583,11.33744,-0.86193,10.45709,-0.77126,10.27236,-0.7473,9.00147,-0.61273,31.36,0.16,17169.6,83.4,54755.7,0,79.18799,5.60754,134.3,1.1,8035.24,17.59,0.84308,-0.00332,0,0,1,0,1431,142,3.00274,0.02452,3.38542,-0.02771,4.46752,-0.048451429,3.09093,-0.96571,1.84297,-0.0221,0.89328,0.04651,44.91269,-0.18521,28363.01434,-13469.97022,0,0,23,64626628,0
Georgia,94.43603,0.23692,86.53208,-0.10683,7.6,-0.1,8.6,-0.2,9.6,-0.2,452,-30,192,-13,260,-17,10.8,-0.1,9.7,-0.1,8.6,-0.1,514,-32,294,-19,220,-13,5.4,-0.2,277,-26,74,-6,0.00273,-0.01467,4.23584,-0.57667,229.27492,-1.26844,0.0033,-2.00E-05,38.82217,6.18487,140.82543,6.27412,0.00203,0.00009,36.61965,-0.34524,0.00053,0,52.04355,0.05251,0.00075,0,100,0.1,100,0.2,24.69,-2.68,3.83,0.01,5.02,0.19,1.740806667,0.076578333,0.391192778,-0.002652222,6957586.291,295771.7751,8.31,-0.3,8.87,0.04,391.38,5.3,199.08905,14.3253,76.33093714,-0.571862857,20.85438,-1.77118,19.06419,-1.59375,18.63592,-1.54752,16.92841,-1.41149,40.62,0,2822.4,0,6949,0,40.34578,0.00352,119.34,0,0,0,0.88814,-8.00E-05,0,0,1,1,179,6,0.01998,0.00269,0.04923,0.00199,4.109878571,-0.008745714,1.892447143,-0.019147143,4.98235,0.13943,2.8192,0.2847,76.22592,3.81553,1335.81064,18.7392,0,0,132,3744386,0
Germany,100,0,99.22538,0.00019,2.9,0,3.2,0,3.4,-0.1,2449,-62,1095,-26,1354,-36,4,-0.1,3.7,-0.1,3.4,-0.1,2884,-65,1592,-38,1292,-27,2.3,0,1750,-25,6.1,-0.9,0,0,6.28777,-0.10925,3364.8421,-3.45863,0.00963,-1.00E-05,25.4435,2.78385,608.87663,13.51223,0.00174,4.00E-05,151.28756,-1.42138,0.00043,-0.00001,178.2072,0.46124,0.00051,0,100,0,100,0,17.07,1.03,2.77,-0.09,0.75,0.1,2.494827222,-0.000289444,0.058122222,-5.56E-05,208360505.7,955400.4831,20.38,-0.47,19.56,-0.48,8810.44,-139.59,0.08287,0.0094,56.54725571,-0.440604286,11.15322,-0.99761,10.73096,-0.96551,10.54546,-0.95848,9.72451,-0.89169,32.68,0,11419,0,34939,1,79.13985,0.9348,183.52,1.63,7813.12,52.72,0.98175,3.00E-05,1,0,1,0,9496,365,7.83311,-0.14946,6.38125,-0.09923,4.564055714,0.033454286,3.291794286,-0.763582857,1.0566,0.07537,0.89328,0.04651,70.04197,-1.53766,52665.20426,-19432.7926,0,0,19,83369843,0
Kiribati,73.74937,0.57345,44.00101,0.29533,36.2,-0.9,40.4,-1.1,44.4,-1.1,140,-3,61,-1,79,-2,55.8,-1.6,51.4,-1.5,46.6,-1.4,178,-4,100,-2,78,-2,21.7,-0.5,76,-1,436,87,34.15991,-0.48115,645.73276,61.56107,1.02784,0.08485,0.00127,0.00011,3596.24341,330.77192,2.11743,0.18949,0.00261,0.00023,0,0,0,0,0,0,0,0,89.3,1.8,88.6,-0.1,42.59,0.07,6.54,0.07,-3.71,-7.35,0.881971667,0.012463333,0.552355556,0.003663889,103727.0135,3001.488096,4.09,0.09,3.85,-0.6,57.38,-0.83,0,0,59.465078,14.06216,7.98411,-0.05283,7.61811,-0.05125,7.98411,-0.05283,7.18299,-0.06253,1.46,0,1.18,0,81,0,40,0,126.1858757,0.199265537,0,0,0.77675,-0.00161,0,0,1,0,5,1,0.0000643,0.0000224,0.00068,7.00E-05,7.501936,0.005354,2.96001,0.002478,-0.53961,-5.81376,1.4385,0.1001,80.92827,14.67967,-0.55828,0.58608,2,0.015873016,193,131232,0
Greece,100,0,98.99026,0.00351,3.2,-0.2,3.5,-0.2,3.8,-0.2,291,-21,129,-9,162,-12,4.3,-0.2,4,-0.2,3.7,-0.1,334,-23,185,-13,149,-10,2.4,-0.1,197,-13,4.7,0.3,0,0,15.36802,1.4323,668.43331,8.29865,0.00519,7.00E-05,24.11729,7.11448,236.05017,13.53053,0.00183,0.0001,266.55425,-0.13563,0.00207,0,304.1178,0.50297,0.00236,0,100,0,100,0,18.52,0.66,2.9,-0.1,2.46,0.23,5.2011125,-0.26576,0.337736,-0.025388,49690457.53,-2602896.477,8.58,-0.02,7.81,-0.36,1654.49,35.76,0.90103,-0.10795,72.57356714,-0.363012857,15.57882,-1.07657,14.62251,-1.06251,14.36616,-1.19216,12.69927,-1.03422,30.27,0,3901.8,0,12890,0,86.51999,0,34.24,0,0,0,0.83565,-0.00106,0,0,1,0,89,7,0.19936,-0.0027,0.32261,0.0003,6.231205,-0.000805,4.338176667,-1.072856667,1.88434,0.21591,0.89328,0.04651,48.86118,0.10887,5019.20677,1045.94159,0,0,91,10384971,0
Guinea,67.67525,1.23179,27.6064,1.17486,59,-1.2,66.8,-1.2,74,-1.4,29962,-285,12984,-131,16978,-154,111.8,-2.4,104,-2.2,95.8,-2.1,46437,-486,25496,-271,20941,-215,31.9,-0.4,14551,3,176,0,9.88935,-0.93065,35.03122,4.0863,58.26578,1.76323,0.00024,0.00001,46.99946,2.4666,612.71876,10.2812,0.00249,4.00E-05,29.92748,0.40511,0.00012,0,120.84673,0.42461,0.00049,0,42.2,-2.8,86,-0.7,68.27,-4.91,5.37,0.08,2.97,-0.73,1.587112778,0.009774444,1.680522222,-0.034607778,20269409.38,687873.2557,10.94,-0.56,10.4,0.71,102.61,-2.11,205.51033,21.06321,85.07540167,12.2301531,42.37831,-0.52766,37.57394,-0.38136,35.00934,-0.50674,34.16746,-0.3135,25.35,-0.16,6229,-40,24572,0,71.66975,0,131.2,0,0,0,0.89318,3.00E-05,0,0,1,0,21,1,0.02075,0.0004,0.01794,0.00086,4.558828,0.022266,0.56365,0.000142,5.61691,-0.74158,9183.8759,172.7417,55.15939,-6.94722,44.4,-308.36,0,0,75,13859341,1
Honduras,94.60685,0.42056,81.95255,0.83892,13.4,-0.5,15.2,-0.6,16.9,-0.6,3269,-96,1406,-41,1863,-55,19.6,-0.7,17.8,-0.6,15.8,-0.5,3804,-117,2157,-67,1647,-50,10.2,-0.4,2199,-71,31,-6,5.77666,-0.566,7.1134,2.07245,459.72868,8.89492,0.00411,8.00E-05,32.32863,1.51738,500.65092,5.74085,0.00447,5.00E-05,136.13243,2.97113,0.00122,3.00E-05,155.66957,3.24821,0.00139,3.00E-05,91.1,-0.5,99,0.1,46.16,-2.67,4.35,0.15,0.94,-1.14,0.957672222,-0.006200556,0.383694444,-0.006278333,9333576.859,92426.41314,17.14,-0.11,16.35,-0.54,419.22,1.24,261.72657,71.15028,79.002345,0.807298333,19.41589,-1.12735,18.93138,-1.09438,19.08141,-1.07111,18.58609,-1.07176,57.02,-0.19,6380.21,-20.95,11189,0,72.34321,0.28628,105.72,0,17.82,0,0.74366,-0.00185,1,1,1,0,97,8,0.04622,0.00201,0.06282,-6.00E-05,8.328898,0.593792,1.469164,0.5446,2.65307,-1.19192,24.5085,0.6058,83.44767,-4.24634,498.1,-463.2,0,0,88,10432860,1
Hungary,100,0,97.98614,-0.00238,3.1,-0.1,3.4,-0.1,3.7,-0.1,317,-14,140,-6,177,-8,4.5,-0.1,4.1,-0.1,3.7,-0.2,382,-15,213,-8,169,-7,2.2,-0.1,201,-9,6.2,-0.9,0,0,5.83631,0.52279,1140.20223,5.63219,0.01249,6.00E-05,-29.81546,-9.5139,277.42284,-37.6062,0.00304,-0.00041,56.65519,-0.01696,0.00062,0,86.11672,-4.85062,0.00094,-0.00006,100,0,100,0,13.64,0.04,3.51,-0.15,4.91,-0.59,6.515284,0.24828,0.432002,-0.003926,63666020.33,2397547.441,18.59,-0.57,17.44,-1.06,2804.11,49.64,40.99599,0.83193,71.61367571,-0.038612857,14.82597,-3.12334,14.24457,-3.0095,14.04967,-2.97485,13.44984,-2.85953,22.51,-0.02,2054.47,-1.45,9126,0,84.26164,0,108.62,0.87,304.09,-0.03,0.86443,7.00E-05,0,0,1,0,198,30,0.65107,0.01317,0.6236,0.01438,6.252138333,0.171868333,2.883343333,-0.742345,4.85779,-0.50454,290.66,20.44833,149.02622,-3.83808,4327.76019,-2132.57088,0,0,94,9967308,1
India,91.56222,0.58754,69.66315,2.91503,28.2,-1.7,28.3,-1.5,28.4,-1.4,672075,-46452,322005,-23090,350070,-23362,33.7,-1.9,34.3,-2.1,34.9,-2.4,819727,-61989,418998,-29899,400729,-32090,21.4,-1.3,505999,-43393,214,-10,19.21258,-2.77675,8.71125,-0.86209,7760.01765,-61.53797,0.00261,-2.00E-05,22.54416,-1.81989,53963.1028,-801.3998,0.01815,-0.00027,6612.73402,-29.05977,0.00222,-0.00001,13967.36024,-73.22557,0.0047,-2.00E-05,95.9,0.2,99.8,0.7,33.27,0.54,4.25,-0.15,2.68,-2.62,0.910846667,0.010505,0.452322778,-0.00899,1244595967,26756671.56,14.5,-0.99,13.47,-1.41,287.29,-11.65,0.848,0.15148,37.33453714,-1.060031429,53.02981,-5.55486,50.17359,-5.30428,49.95161,-5.20095,45.62557,-4.91214,24.18,0.09,71893.6,266.4,297319,0,6.32911,0,68.7,0,619.26,97.58,0.67887,-0.00419,1,0,1,0,10457,1006,1.70577,0.04444,2.51355,-0.08229,4.619815714,0.034268571,3.13924,0.030542857,3.73792,-2.71593,70.897,0.9741,28.62031,-2.42904,50558.331,8402.13763,0,0,1,1417173173,1
Indonesia,91.81374,0.77294,82.0727,2.28178,17.9,-0.6,20.1,-0.7,22.2,-0.8,91772,-3981,39660,-1730,52112,-2251,26.1,-1,23.8,-0.8,21.3,-0.8,108758,-5113,61502,-2871,47256,-2242,12.1,-0.5,55347,-2445,312,-4,7.51712,-1.1433,3.26457,0.45824,8239.17963,36.56111,0.00439,2.00E-05,53.6033,6.60983,11832.49568,509.17424,0.0063,0.00027,265.92599,0.44886,0.00014,0,425.33587,4.54115,0.00023,0.00001,98.9,0.4,99.9,0,19.77,-2.28,3.19,-0.05,4.04,-0.12,1.093270556,0.013752222,0.281955,-0.007250556,295866918.5,6911566.428,20.26,-0.24,19.7,-0.16,788.65,21.69,4.44509,-0.0818,54.57809286,1.994207143,19.93081,0.82103,19.3398,0.87174,17.73847,0.74001,18.44526,0.95475,49.39,-0.33,92738.73,-605.54,187751.9,0,25.93746,0,178.95,0,6726.87,-59.82,0.76554,-0.00287,1,1,1,0,231,11,0.88188,-0.0395,0.88572,-0.06645,4.793927143,0.001791429,3.296725714,3.43E-05,5.01929,-0.155,14147.6714,-89.2674,30.28854,-5.09878,23883.25,3319.78,0,0,4,275501339,1
Iran (Islamic Republic of),97.32361,0.12927,90.02109,0.32223,10.9,-0.5,11.6,-0.4,12.3,-0.4,16111,-2173,7377,-1014,8734,-1159,14.2,-0.4,13.5,-0.5,12.8,-0.5,19049,-2296,10245,-1224,8804,-1072,8.7,-0.3,11355,-1928,13,-1,6.901644629,-0.358239371,-0.51619,0.68878,58099.27156,402.25354,0.03567,0.00025,80.07222,1.23906,10370.9453,71.36139,0.00637,5.00E-05,730.90378,15.31845,0.00045,1.00E-05,1021.38233,19.27554,0.00063,0.00001,100,0,100,0,1,0,9.12,-0.02,-4.13,-0.61,1.819782778,-0.012642778,0.368633333,0.026264444,150885251.8,992471.2204,13.9,0.85,16.89,1.77,709.54,14.69,148.07076,-2.55372,33.14573429,2.645072857,34.10628,0.02007,31.61622,-0.56199,30.78762,-0.64964,30.69153,-0.77909,6.62,0.01,10743.47,16.44,162250,0,43.48547,0,137.78,-0.21,0,0,0.84547,-0.00298,0,0,1,0,1858,69,0.34562,-0.18341,0.2163,-0.03272,3.141302857,0.022917143,2.95616,0.021635714,-2.65821,-0.40435,96438.1777,31588.21221,37.90212,-8.15856,1508,-865,2,0.015873016,17,88550570,1
Ireland,96.0041,-0.00384,89.30739,-0.01587,2.6,-0.1,2.9,0,3.1,-0.1,176,-5,78,-3,98,-2,3.6,-0.1,3.3,-0.1,3,-0.1,203,-8,113,-4,90,-4,2.2,0,131,-6,5.8,-1.2,0,0,9.71324,-0.2124,893.28383,-1.72934,0.01297,-2.00E-05,112.16025,12.52827,159.6613,9.42815,0.00232,0.00014,129.47078,-0.11862,0.00188,0,136.90108,0.26863,0.00199,0.00001,100,0,100,0,12.33,1.5,1.34,-0.08,4.12,-3,9.88639,0.159402,0.130434,-0.003178,48403955.97,1378770.392,31.44,-1.09,31.59,-1.18,23830.6,150.34,0,0,72.50389,0.706641429,8.67639,-0.11354,8.19503,-0.11202,8.69594,-0.13204,7.49915,-0.11071,11.29,0.05,778.02,4,6889,0,83.42101,4.48798,109.74,2.27,446.87,0,0.91572,0.00018,0,0,1,0,69,8,0.89209,0.04912,0.52284,-0.02043,5.226018333,0.033936667,3.728745,-0.846306667,5.44094,-3.0866,0.89328,0.04651,67.79722,-2.83723,149433.098,161450.5005,0,0,125,5023109,0
Israel,100,0,99.94202,-0.00617,2.6,-0.1,2.8,-0.1,3.1,-0.1,512,-3,228,-3,284,0,3.8,-0.1,3.5,-0.2,3.2,-0.2,637,-4,353,-1,284,-3,1.9,0,341,4,2.9,-1.1,0,0,-0.64001,-0.03229,452.78053,-0.14712,0.02092,-1.00E-05,6.06416,-2.06736,43.98347,-0.85731,0.00203,-4.00E-05,0.04999,0.0023,0,0,0.06747,0,0,0,100,0,100,0,4.49,0.64,2.48,-0.13,1.95,-0.22,3.79507,0.044642778,0.093522778,-0.000588889,32331620.36,897384.1894,11.93,-0.31,11.29,-0.2,4892.23,-32.88,5.20375,-0.56363,62.83554286,-2.237321429,19.64812,-0.75885,19.47101,-0.74777,18.76325,-0.69538,17.78923,-0.64753,6.47,0,140,0,2164,0,17.05169,0.02497,7.69,0,0,0,0.72444,8.00E-05,0,0,0,0,215,9,0.3077,-0.0092,0.39607,0.00958,4.422888571,0.010575714,1.149078571,0.017677143,4.15614,0.08582,3.56453,-0.02603,33.56718,-3.21358,17362.681,-4151.924,0,0,98,9038309,0
Italy,99.91703,0,99.88522,-7.00E-05,2.3,-0.2,2.6,-0.1,2.7,-0.2,1085,-108,484,-48,601,-60,3.2,-0.2,3,-0.2,2.8,-0.1,1290,-128,715,-71,575,-57,1.7,-0.2,729,-85,6.1,-1.2,0,0,5.00524,0.28011,1938.25006,5.17036,0.00655,1.00E-05,51.16344,9.55136,738.18398,46.64261,0.0025,0.00016,381.27287,-2.499,0.00129,-0.00001,424.27337,-1.56641,0.00143,-0.00001,100,0,100,0,17.27,0.19,2.44,-0.04,0.73,-0.41,3.348394,0.079254,0.104306,0.00172,199992621.7,4244893.826,14.87,-0.14,14.88,-0.13,4774.72,-9.31,0.12743,0.01208,57.22827714,2.998035714,14.72666,-1.79795,14.22481,-1.74984,14.00555,-1.7348,12.25537,-1.56435,32.17,0.19,9512.32,53.81,29571.7,-0.1,76.64024,0.14518,110.6,0,865.94,47.67,0.89541,-0.00051,1,1,1,0,690,59,2.82796,0.01699,2.45639,-0.08281,5.197522857,-0.068834286,3.694555714,-1.033765714,0.4832,-0.44261,0.89328,0.04651,50.35166,0.02661,18145.56755,-19536.35864,0,0,25,59037474,0
Kazakhstan,95.42703,0.00679,97.86969,-0.0022,7.8,-0.1,9.1,0,10.2,-0.1,3646,32,1525,14,2121,18,11.5,0,10.2,-0.1,8.8,-0.1,4093,31,2375,18,1718,13,4.7,0,1906,28,68,1,0.03005,-7.00E-05,-0.84832,1.10682,154934.4307,1729.52146,0.05739,0.00064,100.19433,14.86534,50247.04821,3731.07049,0.01861,0.00138,6139.86124,20.94717,0.00227,0,6731.46483,27.43804,0.00249,0.00001,100,0,100,0,1.85,-0.03,6.27,-0.38,3.34,0.49,5.054589444,0.093605556,0.444182222,-0.005699444,93769853.44,2886548.261,10.49,0.13,11.47,0.04,1211.6,53.39,14.61528,1.1032,74.83983857,-0.428891429,35.43695,-2.89198,26.50215,-1.96186,31.37861,-2.46442,23.70282,-1.71754,1.27,0.01,3425.44,29.24,269970,0,28.54459,0,83.17,-0.72,0,0,0.86895,-0.00059,0,0,0,0,398,20,0.3014,-0.01041,0.19525,0.0311,4.935812857,1.101024286,4.640357143,1.094874286,4.5,0.4,382.7473,38.0415,52.32976,0.19973,3284.18106,-613.57757,0,0,66,19397998,1
Kyrgyzstan,89.85881,0.43187,97.77771,0.11398,14.4,-0.6,16.3,-0.7,18.1,-0.8,2743,-96,1179,-41,1564,-55,20.3,-0.8,18.3,-0.7,16.2,-0.6,3067,-109,1747,-63,1320,-46,12.5,-0.5,2090,-116,110,-6,0,0,-0.03586,0.05112,6966.30763,3.5624,0.03632,2.00E-05,83.27095,15.00142,334.65779,27.39301,0.00174,0.00014,273.72286,1.68607,0.00143,0.00001,337.16042,1.15874,0.00176,0.00001,99.9,-0.1,99.8,-0.2,28.31,4.92,4.96,-0.92,2.94,0.89,1.409405,-0.043425556,1.142666111,-0.066838889,9042535.56,-116135.1397,15.16,0.46,14.71,0.45,189.85,10.93,46.4763,-0.25915,74.18947571,1.593791429,39.646,-3.63207,37.58464,-3.41257,40.93953,-3.67043,36.19292,-3.2676,6.76,0.09,1297.14,18.24,19180,0,23.60218,0,49.04,0.62,0.31,0,0.98344,-0.0002,0,0,1,0,143,0,0.01045,0.00105,0.0258,-0.0009,4.752678,0.00996,2.831618,0.011126,4.60063,0.84272,69.7893,0.949,78.62676,-7.56483,404,260,0,0,109,6630623,1
Lao People's Democratic Republic,85.09983,1.81395,78.94809,2.06181,32.1,-1.2,36.6,-1.1,40.6,-1.4,5988,-223,2570,-100,3418,-123,50.4,-1.8,45.8,-1.7,40.9,-1.6,7516,-309,4241,-171,3275,-138,22.1,-0.6,3637,-112,155,-7,16.65692,-1.83767,13.66027,2.48261,1050.99554,22.95621,0.00455,0.0001,26.03024,5.8707,846.28871,39.42158,0.00367,0.00017,723.55555,25.54696,0.00313,0.00011,1144.68545,32.44807,0.00496,0.00014,98.4,5.5,99.9,0.4,48.72,-1.49,4.35,-0.35,3.89,-0.76,2.409416667,0.056985,0.943693889,-0.006022778,17274211.78,662525.656,7.8,0.09,7.64,0.19,199.58,9.76,92.9128,-3.98345,78.19496,-0.87486,24.18547,1.44875,21.15498,1.47417,23.29719,1.6604,20.54344,1.477,72.05,-0.15,16630,-34.5,23080,0,45.00722,7.71533,121.5,0,59.69,41.68,0.816,-0.00038,0,0,1,0,60,1,0.03053,0.00287,0.03243,0.00057,6.558003333,-0.037598333,3.36598,-0.048865,5.45774,-0.79022,8679.41,278.08,64.44845,-0.17081,755.52412,-602.49539,0,0,103,7529475,0
Latvia,98.73825,0.05218,92.41313,0.00967,3.1,-0.2,3.4,-0.2,3.6,-0.2,65,-7,29,-3,36,-4,4.3,-0.2,4,-0.2,3.7,-0.1,77,-8,43,-4,34,-4,2.2,-0.1,42,-3,24,-4,0,0,2.04785,0.25905,795.69646,2.01984,0.01279,4.00E-05,19.01083,3.77152,313.86932,9.9467,0.00504,0.00016,76.93731,0.03775,0.00124,0,81.66751,0.3072,0.00131,0,100,0,100,0,41.48,0.51,3.16,-0.19,3.59,-1.44,2.333953333,-0.077070556,0.145591111,-0.009647222,4450243.015,-199321.2846,11.24,0.12,10.6,0.04,1803.42,81.6,7.54959,-0.34234,76.40482714,-0.864272857,14.13153,-1.01729,12.02183,-0.82062,11.54887,-0.77581,9.68268,-0.59734,54.75,0.06,3406.92,3.87,6222.7,0,97.31033,0,127.65,0.47,1977.93,79.25,0.98853,0,0,0,1,0,19,2,0.08259,-0.0001,0.09804,-0.00126,5.000724286,-0.003101429,2.425745714,-0.522294286,2.5697,-1.42215,0.89328,0.04651,100.93186,-3.18669,901.17724,-62.4824,0,0,151,1850651,0
